country_long,gender,age
Sao Tome and Principe,Female,28
Romania,Female,25
Romania,Male,20
Romania,Male,35
Romania,Female,35
Romania,Female,29
Kuwait,Male,41
Singapore,Female,24
Singapore,Female,24
Romania,Male,26
Romania,Male,27
Romania,Male,30
Romania,Female,30
Democratic Republic of Timor-Leste,Male,19
Democratic Republic of Timor-Leste,Female,26
Democratic Republic of Timor-Leste,Male,23
Japan,Female,27
Japan,Male,27
Japan,Female,28
Japan,Female,29
Japan,Female,28
Japan,Male,30
Japan,Male,29
Japan,Male,29
Japan,Female,27
Japan,Female,26
Japan,Female,28
Democratic Republic of Timor-Leste,Female,25
Singapore,Female,18
Romania,Male,28
Singapore,Female,24
Armenia,Male,27
Tajikistan,Male,24
Morocco,Female,24
Morocco,Female,22
Romania,Male,35
Romania,Male,22
Yemen,Male,16
Yemen,Female,39
Romania,Female,28
India,Male,44
India,Male,34
Morocco,Female,28
Morocco,Male,28
India,Male,27
Germany,Male,43
Germany,Male,36
Germany,Female,41
Germany,Male,28
Germany,Female,28
Germany,Female,27
Germany,Female,18
Tajikistan,Male,31
Jamaica,Male,20
Morocco,Female,22
Mexico,Female,22
Morocco,Male,21
Morocco,Female,25
Puerto Rico,Female,24
Vanuatu,Female,35
Vanuatu,Female,22
Vanuatu,Male,28
Vanuatu,Male,22
Vanuatu,Female,19
Mexico,Female,30
Bhutan,Male,29
India,Male,36
India,Male,28
India,Male,28
India,Male,26
India,Male,24
India,Male,29
India,Male,27
India,Male,25
India,Male,31
India,Male,26
India,Male,28
India,Male,31
India,Male,29
Bangladesh,Male,20
India,Male,32
India,Male,23
India,Male,28
Bahrain,Female,18
Islamic Republic of Iran,Male,27
Islamic Republic of Iran,Male,23
Cambodia,Male,31
Bahrain,Male,20
Islamic Republic of Iran,Male,22
Afghanistan,Male,33
Algeria,Male,30
Algeria,Male,29
Algeria,Male,31
Algeria,Male,28
Ireland,Male,24
Ireland,Female,27
Ireland,Male,28
Ireland,Female,21
Ireland,Female,28
Ireland,Female,29
Ireland,Female,23
Ireland,Female,20
Ireland,Female,33
Ireland,Male,26
Ireland,Male,25
Ireland,Female,24
Ireland,Female,23
Ireland,Male,26
Ireland,Male,27
Ireland,Female,20
Ireland,Female,17
Ireland,Male,30
Ireland,Female,32
Ireland,Male,32
Ireland,Male,25
Ireland,Female,26
Ireland,Female,22
Ireland,Male,28
Ireland,Female,22
Lesotho,Male,28
Colombia,Male,29
Colombia,Male,25
Gabon,Male,28
Jamaica,Female,28
Colombia,Male,27
Colombia,Female,34
Colombia,Female,23
Colombia,Female,33
Colombia,Male,26
Colombia,Male,24
Colombia,Male,30
Colombia,Female,31
Colombia,Female,28
Colombia,Male,25
Colombia,Female,33
Colombia,Female,24
Colombia,Male,28
Colombia,Male,30
Colombia,Male,23
Colombia,Female,21
Colombia,Female,29
Colombia,Male,26
Colombia,Male,24
Colombia,Female,29
Colombia,Male,25
Colombia,Male,29
Colombia,Female,33
Colombia,Female,20
Romania,Female,18
Mexico,Female,23
Romania,Male,20
Romania,Male,19
Israel,Male,35
Algeria,Male,23
Bangladesh,Male,18
Israel,Male,35
Uzbekistan,Male,27
Argentina,Female,28
Malawi,Female,24
Eswatini,Male,36
Eswatini,Female,16
France,Female,27
France,Female,23
France,Female,30
France,Male,30
France,Male,28
France,Male,34
Gabon,Female,29
Mexico,Female,24
"Virgin Islands, US",Female,22
Great Britain,Female,16
Great Britain,Male,51
Great Britain,Female,16
Gambia,Female,20
Great Britain,Female,23
Great Britain,Female,23
Great Britain,Male,23
Great Britain,Male,28
Great Britain,Female,30
Colombia,Male,23
Great Britain,Female,18
Great Britain,Male,31
Colombia,Male,23
Colombia,Female,27
Great Britain,Male,22
Great Britain,Female,20
Great Britain,Male,19
Great Britain,Female,27
"Virgin Islands, US",Male,20
Mexico,Male,38
Mexico,Female,20
Yemen,Male,20
India,Male,29
India,Male,29
India,Male,26
India,Male,30
India,Male,25
India,Male,26
India,Male,30
India,Male,28
India,Male,28
India,Male,22
India,Male,25
India,Male,23
India,Male,30
India,Male,29
Turkmenistan,Male,21
Armenia,Male,21
Armenia,Male,29
India,Female,25
India,Female,24
Armenia,Male,25
India,Female,22
Ireland,Male,28
Ireland,Female,26
Ireland,Male,23
Ireland,Male,32
