country_long,country_code,id,total_population,Gold Medal,Silver Medal,Bronze Medal,Total,continent
United States of America,USA,840,334914895,40,44,42,126,North America
United States Minor Outlying Islands,UMI,581,0,0,0,0,0,North America
Uruguay,URY,858,3423108,0,0,0,0,South America
Uzbekistan,UZB,860,36412350,8,2,3,13,Asia
Vanuatu,VUT,548,334506,0,0,0,0,Oceania
"Venezuela, Bolivarian Republic of",VEN,862,28838499,0,0,0,0,South America
Viet Nam,VNM,704,98858950,0,0,0,0,Asia
Virgin Islands (British),VGB,92,31538,0,0,0,0,North America
Virgin Islands (U.S.),VIR,850,104917,0,0,0,0,North America
Wallis and Futuna,WLF,876,0,0,0,0,0,Oceania
Western Sahara,ESH,732,603253,0,0,0,0,Africa
Yemen,YEM,887,34449825,0,0,0,0,Asia
Zambia,ZMB,894,20569737,0,0,1,1,Africa
Zimbabwe,ZWE,716,16665409,0,0,0,0,Africa
